4074,928
635,935
1392,562
4002,149
3394,777
3278,179
485,844
3474,328
2194,393
3828,815
3547,774
1.38,697
3276,170
2926,233
3757,264
746,267
4204,264
4072,253
983,260
1758,851
3786,773
2654,798
811,814
828,618
1315,671
3446,767
1145,935
762,846
4087,890
1299,820
909,273
727,143
1199,130
919,249
1688,922
3246,750
3724,197
3434,191
1842,642
2434,449
4088,814
3112,603
1038,311
4222,203
1129,178
1555,945
2975,272
3014,729
1108,124
1483,329
427,272
493,271
1677,697
682,739
533,671
3575,925
3494,206
3088,880
4028,592
914,249
298,699
4091,838
3612,157
3298,533
4157,823
2634,429
3284,644
1862,206
263,756
1507,719
3332,554
3491,684
0.89,135
782,876
2948,235
1259,300
3086,275
3651,355
4089,270
807,187
3.48,718
2654,671
528,627
454,276
768,291
1203,693
1445,689
1274,233
3339,865
1722,800
2312,437
1612,804
879,740
1705,623
958,757
1214,939
1345,785
943,297
3417,561
3238,696
1044,727
1181,126
4.21,853
1282,630
4.35,274
2724,664
2719,739
1829,783
3.14,791
0.96,146
1738,157
2931,272
222,774
3417,722
1351,205
4043,774
1887,225
1638,689
3845,175
3744,846
3.95,329
558,143
2914,835
4007,237
2873,866
3693,602
1233,684
417,642
3305,748
3845,597
4225,218
2762,646
615,214
732,197
213,652
1351,217
2825,657
528,149
832,637
2795,875
271,185
1679,184
1044,927
3728,755
0.67,221
4486,205
404,797
545,846
1.69,304
242,685
3649,725
3907,298
3463,572
3901,348
3039,760
3419,139
3614,117
587,657
1644,671
3746,599
3.7,244
1832,381
3425,614
3.86,214
1144,659
1.47,246
561,804
1458,620
3474,777
937,276
3864,714
626,137
3615,546
544,648
632,141
841,204
1587,327
1088,260
831,639
0.37,702
805,777
3428,304
2653,853
2113,371
2792,761
2122,442
1451,328
3269,980
1202,783
3797,759
4118,183
818,683
3514,161
4046,767
1994,427
903,265
3269,955
817,943
3974,593
3.76,238
0.32,786
3356,733
1587,835
3946,873
3262,621
0.92,744
1852,862
3671,586
884,980
1326,947
437,657
3729,833
1375,258
435,822
3419,803
689,226
534,633
1683,679
1221,306
3401,542
3753,599
1732,908
2273,426
1088,133
1544,744
3915,711
3522,748
1121,279
3119,245
885,850
539,190
966,917
2787,792
1.56,187
1695,219
2506,444
3568,635
623,749
3233,853
1991,769
4176,333
4189,758
1784,680
1407,239
3556,641
2953,677
3575,877
1407,749
688,857
693,604
1831,827
946,684
2932,692
1805,637
3257,240
1342,267
1658,160
3.68,814
2725,704
977,738
3609,899
1.43,558
1345,768
1539,146
2378,374
3941,800
3343,141
4004,918
2988,905
3642,592
3232,536
4148,870
3342,215
1233,804
744,921
4413,295
3366,681
1376,735
1417,918
4172,626
4422,739
2192,451
585,835
1624,255
1979,410
421,172
1621,312
476,154
3156,880
3067,839
954,268
3.1,713
3601,358
782,577
4182,750
1932,795
3469,968
3921,723
251,238
1.09,587
611,688
4161,634
715,574
3308,531
855,961
1196,594
701,270
1286,308
1218,804
712,278
874,146
2995,923
4697,230
2413,388
3.53,662
3862,237
1.59,625
2662,735
896,347
938,333
1374,251
1215,162
4094,747
1582,717
3126,558
3812,592
3739,662
739,206
3472,266
